id,created_at,full_text
1015999667564371968,2018-07-08 16:42:51,@DaniloToninelli @lvoir Si può ed è legittimo criticare un accordo e proporre di cambiarlo ma credo si debba andar fieri di aver salvato delle vite umane; che siano #migranti o naufraghi indigeni per me non fa differenza. L'importante è aiutare chi è in difficoltà; sempre.
1015999613042610176,2018-07-08 16:42:38,Finalmente un analisi seria e pacata del problema. Iniziamo a vedere le due facce del fenomeno #migranti e poi si discute su' come governare la questione. https://t.co/7dV6pwdOa0
1015999555282919424,2018-07-08 16:42:24,RT @ggv84: #BUFALA ACCHIAPPALIKE #Salvini chiude i fondi alle coop che ospitano #migranti. 50 milioni di euro da destinare ad altro https://t.co/9TX5I60pN7 #buonadomenica
1015999249522315265,2018-07-08 16:41:12,"Sono stata razzista per davvero e qui ti racconto le cose che pensavo e dicevo, senza vergognarmi e fino a poco tempo fa...
#magliettarossa #apriteiporti #umanità #immigrazione #restiamoumani https://t.co/UqXf8xGr5D https://t.co/hmZZsxOYAb"
1015998699695214597,2018-07-08 16:39:01,"@visionaria_io @AngeloTani Per eliminare totalmente i morti in mare (l'ho già detto) docremmo organizzare un via vai di navi che vanno a prendere i #migranti direttamente dai porti della Libia, sperando chiaramente nella manna biblica!"
1015997904119648262,2018-07-08 16:35:51,"LaBancarottaDellÙmanità
♥*
#Migranti https://t.co/2Xqsd4p0sa"
1015997501877440512,2018-07-08 16:34:15,"@Patty_Rose_L @D_Etrusca @matteosalvinimi A loro i #migranti piace vederli raccogliere i pomodori a 3eur/h ,sfruttati da qualche coop rossa.
Però loro sono i buoni."
1015997270624522243,2018-07-08 16:33:20,@DaniloToninelli Ministro @Danilo Toninelli questa Italia che sta costruendo insieme a Salvini e al suo Governo mi piace ancora meno di quella costruita da Renzi. #migranti :Spero che la notte riesca a dormire bene .
1015996967036641280,2018-07-08 16:32:07,"REPORTAGE DAL CENTRO DI ACCOGLIENZA DI #Tripoli, DUEMILA ESSERI UMANI IN GABBIA: “#SALVINI DICE TUTTO OK? MA SE HA VISITATO SOLO LA DEPENDANCE” 
SVELATA L’ENNESIMA BUFALA DELLA ZECCA PADANA: “SIAMO ALL’ANTICAMERA DELLA MORTE”
https://t.co/Z4N45iSLrn #Migranti https://t.co/OUEJOIePA7"
1015996641583812608,2018-07-08 16:30:50,"@DaniloToninelli Vergogna, salvare 106 vite e lo definisce solo perché “imposto da un accordo folle”? #migranti"
1015996386792353792,2018-07-08 16:29:49,"«Troppi #migranti morti, #ong tornino nel #Mediterraneo»
@RefugeesMedia 
&gt;&gt;&gt;https://t.co/nMn6FnaVpK https://t.co/EuxWsuFmze"
1015995876760866817,2018-07-08 16:27:47,"Retweeted Manuela Palombi (@ManuPalo67):

#AssembleaPD 
leggo che dopo la pagliacciata delle #magliettegialle..ora avete in atto quella delle  #magliettarossa x #immigrazione !? dimenticanodovi che vi siete... https://t.co/bCd3gga8mW"
1015995734993326085,2018-07-08 16:27:14,La vergogna di un ministro che si giustifica con i suoi elettori fascisti per aver accolto 100 #migranti. #legam5s #toninelli https://t.co/Jy4mg8DW5k
1015995642794119168,2018-07-08 16:26:52,"Stasera il #tgla7 annuncia: 
#portichiusi anche alle navi militari + blocco #migranti in Libia! 
Un successo per le #MaglietteRosse 😂😂 https://t.co/H6NNWcWwnX"
1015994942517211138,2018-07-08 16:24:05,Pattugliatore irlandese con 106 migranti a Messina. Furia Salvini e Toninelli Video Ma quella missione è a guida italiana - #Pattugliatore #irlandese #migranti https://t.co/jDrg57S115 https://t.co/g32BLynf50
1015993778501496837,2018-07-08 16:19:27,"https://t.co/AbgCTjaXqx
""Senza immigrazione gli italiani sarebbero due volte più poveri: avrebbero #redditi reali più bassi e dovrebbero pagare più #tasse"". 
Comincia così l'analisi di @CarloStagnaro, utile per farsi un'idea corretta sull'#immigrazione https://t.co/08HCXPFQhK"
1015993526050607109,2018-07-08 16:18:27,"#immigrazione #Italia Per chi volesse andare al di là d #buonismo e #pragmatismo consiglio il  testo di uno che l'immigrazione la studia da più di 10 anni, dati alla mano @PietroCastelliG The Politics of #Migration in #Italy https://t.co/fME3LpNe9S @Routledgebooks"
1015993337789276160,2018-07-08 16:17:42,"@paolabocci @ReteDem @Libera @AndreaOrlandosp @SergioLoGiudice @MonicaCirinna @pacunzo @maumartina @nzingaretti @simona_campo @emmecip @mariacarlarocca ...ma chi paga,te lo sei mai chiesto?Forse voi?Non credo.Domandatevi piuttosto se un Paese come #Italia può permettersi di spendere 5Mldi/anno per i #migranti (di cui solo10% ne ha titolo)sottraendo tali risorse a5Milioni di concittadini in""stato di povertà assoluta""(dati #ISTAT)"
1015992896825233408,2018-07-08 16:15:57,"@emontino @MonicaCirinna @libera_annclm @FiumicinoOnline @rep_roma @nzingaretti @AndreaOrlandosp @AnsaRomaLazio @PaoloGentiloni ...ma chi paga,ve lo siete chiesto?Forse voi?Non credo.Domandatevi piuttosto se un Paese come #Italia può permettersi di spendere 5Mldi/anno per i #migranti (di cui solo10% ne ha titolo)sottraendo tali risorse a5Milioni di concittadini in""stato di povertà assoluta""(dati #ISTAT)"
1015992527630028800,2018-07-08 16:14:29,@PossibileIt @Torakjkj @AvvAMaestri Ma voi che difendete euro ed europa siete gli unici fascisti....di sinistra non avete nulla.....nascondersi dietro #migranti #lgbt #iussoli non farà altro che spingervi sempre più verso l'irrilevanza politica e pseudoculturale....e chi era comunista non potrà che gioirne
1015992470935687173,2018-07-08 16:14:15,"Lavori che gli italiani non vogliono più fare...
#migranti https://t.co/hqPe0hsz32"
1015992172628373504,2018-07-08 16:13:04,"@giusi_nicolini ...ma chi paga,ve lo siete chiesto?Forse voi?Non credo.Domandatevi piuttosto se un Paese come #Italia può permettersi di spendere 5Mldi/anno per i #migranti (di cui solo10% ne ha titolo)sottraendo tali risorse a 5Milioni di concittadini in""stato di povertà assoluta"" (dati #ISTAT)"
1015991917350473728,2018-07-08 16:12:03,"Dopo l' #INPS con #Boeri anche l' appelli di #bankitalia . Gli #immigrati sono indispensabili per la nostra #Economia, senza ci condanniamo ad un #futuro di miseria e declino. I #politici che l' hanno capito- #Renzi - vengono massacrati, i #Salvini vincono."
1015991595945078784,2018-07-08 16:10:47,"@Marco_V982 Voi invece non avete capito niente.
Il coloro #rosso non aveva significato politico?Ma in che mondo vivi?L'intera questione #migranti è #politica. Una politica di speculazione e schiavismo che voi con questa falsa o fanatica solidarietà continuate a foraggiare.
#Meloni"
1015991190339182594,2018-07-08 16:09:10,"@crocerossa @libera_annclm ...ma chi paga,ve lo siete chiesto?Forse voi? Non credo.Domandatevi piuttosto se un Paese come #Italia può permettersi di spendere 5Mldi/anno per i #migranti  (di cui solo il 10% ne ha titolo)sottraendo tali risorse a 5Milioni di concittadini in""stato di povertà"" (dati #ISTAT)😢"
1015990986856640514,2018-07-08 16:08:22,"In 106 sbarcati a #Messina. Ira @matteosalvinimi: 'Alt navi internazionali'.
NON FACCIAMOCI 
PRENDERE PER IL C...
#clandestini #migranti
#legalita
DIFENDIAMO BENE LE NS FRONTIERE. 
SENZA SLOGAN MA CON FATTI. 
#GovernoDelCambiamento"
1015990851867152384,2018-07-08 16:07:49,@DaniloToninelli A Danì e di quei 71 #migranti sbarcati martedì a Crotone? Chi ve l'ha imposto? Come mai so sbarcati? I porti non so chiusi?
1015989125663678464,2018-07-08 16:00:58,"Una falsa #ONG telefona a 100 vip che si erano mostrati solidali con i #migranti. Solo 4 accettano di ospitare momentaneamente un #Migrante. 
https://t.co/9jqvd8ABFE"
1015988972709957632,2018-07-08 16:00:21,#Italia #italiani #fitness #migranti #Salvini #sapevatelo      I migranti palestrati https://t.co/6HD9dbRiGP via @wordpressdotcom
1015988942238347265,2018-07-08 16:00:14,"#Migranti , #Salvini:Doneremo 12 motovedette alla #Libia  https://t.co/xk4lrIvgE8 https://t.co/54Lt8c5cBA"
1015988889838915585,2018-07-08 16:00:02,"#AssembleaPD 
leggo che dopo la pagliacciata delle #magliettegialle..ora avete in atto quella delle  #magliettarossa x #immigrazione !? dimenticanodovi che vi siete finanziati con chi sugli #immigranti ci lucrava !? niente siete solo dei magniaccioni senza vergogna !! https://t.co/R4sSCtyD1A"
1015988658183303168,2018-07-08 15:59:06,"Dal Fatto Quotidiano!!! #Italia #italiani #Salvini #Dublino #migranti #UE #sapevatelo      Migranti, Schlein: “In Europa la Lega assente alle 22 riunioni per negoziare il regolamento di Dublino” https://t.co/8yAvZDDLHr via @fattoquotidiano"
1015988568156712966,2018-07-08 15:58:45,"Follia a #Forlì: tiro al bersaglio contro #migranti
&gt;&gt;&gt;https://t.co/FmIwdEyRDS https://t.co/khhWyRBIRk"
